cycle,symbol,config,sharpe,sortino,max_drawdown,calmar,turnover,expectancy,slippage_usage
1,GC,ma_slow,-0.03016050826803387,-0.009030665882090616,-0.02503682574447906,-0.9089117877855843,91.0,-6.080692209981723e-06,0.0
1,GC,ES_PPO_LSTM,-0.04901605828223504,-0.01598172818209942,-3.6290505200331116e-06,-0.6905647339181838,0.0,-2.5060961377221254e-09,0.0
1,GC,NQ_SAC,-0.029096634116604736,-0.01004754689314814,-0.00037426836897323226,-0.53571879356558,0.0,-2.004989643147326e-07,0.0
1,GC,GC_TD3,-0.030016181885191395,-0.008833614472509245,-0.010585664615520147,-0.5324207148521191,0.0,-5.634345323677955e-06,0.0
1,GC,ES_LogReg,-0.0008225766617263498,-0.0002653713887270527,-0.01206370349735315,-0.05742408664603503,0.08244967357724087,-1.638411554610209e-07,0.0
