cycle,symbol,config,sharpe,sortino,max_drawdown,calmar,turnover,expectancy,slippage_usage
1,ES,ma_fast,0.001490179578115629,0.0010785553674273207,-0.016135349131773336,0.09119669997441271,293.0,3.3898850977418746e-07,0.0
1,ES,ES_PPO_LSTM,-0.005707763871240548,-0.0034474944932389945,-1.7251243319860166e-05,-0.1959608853441017,0.0,-3.3803994199388175e-09,0.0
1,ES,NQ_SAC,-0.05714608460780419,-0.03976876822488739,-0.00010283721996945513,-0.9240629991177978,0.0,-9.503119951936866e-08,0.0
1,ES,GC_TD3,-0.03638477059572023,-0.02204103118930099,-0.0005939862888931228,-0.7200319689592946,0.0,-4.2771148137785164e-07,0.0
1,ES,ES_LogReg,0.009960746754033528,0.007398709499873304,-0.0100025212115067,0.8467861678635032,0.0,1.81262176362083e-06,0.0
2,ES,ma_slow,-0.00831179941353874,-0.006558355860805826,-0.03127380826089829,-0.3241089215480399,99.0,-2.0955764298851874e-06,0.0
2,ES,ES_PPO_LSTM,0.0,inf,0.0,0.0,0.0,0.0,0.0
2,ES,NQ_SAC,0.039251257365265066,0.03283352662088373,-4.0139430992864644e-05,1.8007008085176006,0.0,7.227819016897292e-08,0.0
2,ES,GC_TD3,0.00551548249562521,0.00429747971016254,-0.005964951214134133,0.14315363686636653,0.0,8.6584860520134e-07,0.0
2,ES,ES_LogReg,0.00164235032328445,0.0011856272922483823,-0.012526059618349487,0.11896209091018094,0.0,3.312673678961884e-07,0.0
3,ES,ma_fast,8.135964360839212e-05,5.955722299270092e-05,-0.01679423219386751,-0.004191522189776077,333.0,2.1132451115110694e-08,0.0
3,ES,ES_PPO_LSTM,-0.03963882900996671,-0.02097647981107687,-2.008919437596426e-05,-0.6483122649235664,0.0,-1.3024101910730222e-08,0.0
3,ES,NQ_SAC,-0.02590712395051046,-0.019993998889640086,-6.615359715585096e-05,-0.9670804183642071,0.0,-6.397484701103903e-08,0.0
3,ES,GC_TD3,0.05859880686839911,0.061781584220056786,-0.00228827436711527,2.666619724011009,0.0,6.088826080788498e-06,0.0
3,ES,ES_LogReg,0.0018654569675833517,0.001430473391647655,-0.013190870444352168,0.15522553969633707,0.0,3.8762814537986233e-07,0.0
1,NQ,ma_slow,-0.0061236991701519175,-0.004380616911255996,-0.03018262263973728,-0.33177162203583266,131.0,-1.6276366330979133e-06,0.0
1,NQ,ES_PPO_LSTM,0.0,inf,0.0,0.0,0.0,0.0,0.0
1,NQ,NQ_SAC,0.004112780150665782,0.0030294396032161403,-7.132562157976039e-05,0.12630910700991563,0.0,9.011433045685949e-09,0.0
1,NQ,GC_TD3,-0.0348832460596286,-0.021401919900143583,-0.007730285782932889,-0.6907922375462481,0.0,-5.342596189437453e-06,0.0
1,NQ,ES_LogReg,0.00997309338407492,0.007354003525509654,-0.011102505294330045,1.1508903869254337,0.0,2.1205573607339617e-06,0.0
2,NQ,ma_slow,-0.012584433864996306,-0.009819530458212626,-0.04540707640500111,-0.5074141967414535,133.0,-3.6983832981024497e-06,0.0
2,NQ,ES_PPO_LSTM,0.0,inf,0.0,0.0,0.0,0.0,0.0
2,NQ,NQ_SAC,-0.002850577067253661,-0.002119392661596612,-0.000456375088219652,-0.05541429712105712,0.0,-2.5250830324341553e-08,0.0
2,NQ,GC_TD3,0.0225766849787962,0.01714495728870779,-1.585598775842585e-05,1.1943549365981825,0.0,1.8937849576516897e-08,0.0
2,NQ,ES_LogReg,0.002634982615823954,0.0018352366497995198,-0.016461766855491906,0.22442009315221736,0.0,6.195535670776295e-07,0.0
3,NQ,ma_fast,0.0009300364644196401,0.0006961657152468286,-0.02842957817661655,0.06101759181880124,441.0,2.827819839773901e-07,0.0
3,NQ,ES_PPO_LSTM,0.0,inf,0.0,0.0,0.0,0.0,0.0
3,NQ,NQ_SAC,-0.024047146626961252,-0.01742746856096145,-0.00033497337861154724,-0.386866380559917,0.0,-1.2958382296845975e-07,0.0
3,NQ,GC_TD3,0.0016294660969437562,0.0010984356385803967,-0.006931305836945788,0.032497008934801216,0.0,2.3567085918330257e-07,0.0
3,NQ,ES_LogReg,0.006390647379255114,0.0046742645304284755,-0.016881815959104884,0.6654390893191156,0.0,1.554454165312948e-06,0.0
1,GC,ma_slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GC,ES_PPO_LSTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GC,NQ_SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GC,GC_TD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GC,ES_LogReg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GC,ma_slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GC,ES_PPO_LSTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GC,NQ_SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GC,GC_TD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GC,ES_LogReg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GC,ma_slow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GC,ES_PPO_LSTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GC,NQ_SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GC,GC_TD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GC,ES_LogReg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
