cycle,symbol,config,sharpe,sortino,max_drawdown,calmar,turnover,expectancy,slippage_usage
1,ES,ma_fast,0.022083435153046817,0.01582007177392357,-0.010611651117340878,3.4340113947032265,547.0,3.993265068835812e-06,0.0
2,ES,ma_fast,-0.018364794499524634,-0.008484145331356063,-0.03521998927312656,-0.9571299610318905,551.0,-4.4070040732325285e-06,0.0
3,ES,ma_slow,0.025641343395808324,0.017327059241618082,-0.009843857775217341,4.793717566936667,131.0,5.661198359399217e-06,0.0
4,ES,ma_medium,-0.0005256148542340139,-0.00035806277063579956,-0.031585288299292934,-0.03561366504583825,325.0,-1.1405673104071534e-07,0.0
5,ES,ma_fast,-0.0092271921226929,-0.00463851629853588,-0.048483088006237976,-0.6628301346525032,629.0,-3.3158625155067412e-06,0.0
6,ES,ma_medium,-0.006421170896335807,-0.004349686686173545,-0.013674485760456271,-0.842717501411908,421.0,-1.0462059217526345e-06,0.0
7,ES,ma_fast,-0.008264411784372245,-0.004929642643247603,-0.03009853299294239,-0.38464966801710765,531.0,-1.3921955274090893e-06,0.0
8,ES,ma_medium,0.006771843135358005,0.005802524771138989,-0.01262227937768542,0.7565411006245112,427.0,9.489195657115831e-07,0.0
9,ES,ma_slow,0.003206603499424765,0.0021794711102887288,-0.01841725810586799,0.3396654079448127,167.0,7.929453237335668e-07,0.0
10,ES,ma_medium,0.0166824090507328,0.017981467223482324,-0.011881089371755419,3.9817057487160468,319.0,5.183617899233632e-06,0.0
11,ES,ma_medium,0.010019231057177745,0.011832385641836973,-0.04827127507655812,2.743933356694783,431.0,1.1946811779970268e-05,0.0
12,ES,ma_slow,-0.008780000232239165,-0.0057154915349441815,-0.0681301680670332,-0.658628275351299,177.0,-5.358316080165607e-06,0.0
13,ES,ma_medium,-2.5378397128978346e-05,-1.2800317852355868e-05,-0.05866912410388168,-0.03021780213796011,435.0,-1.3587445731993433e-08,0.0
14,ES,ma_medium,0.00017309801313391827,0.00011592325358434887,-0.029161671627625202,0.0027700841704980353,307.0,4.767401216358128e-08,0.0
15,ES,ma_slow,0.006843970702379345,0.00684322124234571,-0.02386393502854705,0.8046575771585016,207.0,1.8805713307141252e-06,0.0
16,ES,ma_medium,-0.016872055508150043,-0.008782118810297683,-0.059238010278945284,-0.9213241045902465,363.0,-6.422197778838975e-06,0.0
17,ES,ma_fast,0.012017137184188197,0.022386295961816946,-0.023071770678932933,1.235147624977652,329.0,5.422058340834337e-06,0.0
18,ES,ma_fast,-0.0066045972842564155,-0.006589568138214926,-0.021540223663843835,-0.21201738297451245,287.0,-1.0919834579946813e-06,0.0
19,ES,ma_slow,0.027986493871008808,0.025566092088099335,-0.005427416390688894,3.99318140696676,91.0,3.893951000193265e-06,0.0
20,ES,ma_fast,0.01623423302155026,0.02861925599383573,-0.008571026184889842,1.7160274127943036,289.0,3.5505895457073826e-06,0.0
21,ES,ma_slow,0.0014419771285403215,0.0014617816033545086,-0.017890319177327703,0.09263258141190926,109.0,3.254170595969893e-07,0.0
22,ES,ma_slow,-0.0010352869067639233,-0.0010984380867137692,-0.011776968397472842,-0.09455965400269566,89.0,-1.977292118424649e-07,0.0
23,ES,ma_fast,-0.0006191365350860214,-0.0006863893231972786,-0.011727652666467777,-0.04815752255766584,299.0,-1.0983091229972144e-07,0.0
24,ES,ma_medium,0.015644029211713192,0.030424990139211797,-0.012079860605085365,2.007052566892325,177.0,5.855679238426054e-06,0.0
